section,text,ground_truth,base_pred,finetuned_pred,model,accuracy,precision_w,recall_w,f1_w,report
metrics,,,,,xlm-roberta-base,0.614,0.376996,0.614,0.4671573729863692,"              precision    recall  f1-score   support

           0       0.61      1.00      0.76       307
           1       0.00      0.00      0.00        31
           2       0.00      0.00      0.00       162

    accuracy                           0.61       500
   macro avg       0.20      0.33      0.25       500
weighted avg       0.38      0.61      0.47       500
"
metrics,,,,,fine-tuned,0.768,0.7164150793650793,0.768,0.7377407190444513,"              precision    recall  f1-score   support

           0       0.79      0.92      0.85       307
           1       0.00      0.00      0.00        31
           2       0.72      0.62      0.67       162

    accuracy                           0.77       500
   macro avg       0.50      0.52      0.51       500
weighted avg       0.72      0.77      0.74       500
"
predictions,من عاشق چشم تو و خواب نگاه تو شدم... #دلتنگی,neg,neg,neg,,,,,,
predictions,واقعا جاي من خالي خوب گوش مالي اش ميداديد!!! فكر كردن هنوز تو قرون وسطي زندگي ميكنيم. اينا ديگه كين؟؟؟ مظلوم گير آوردند . نترسين و مطمئن باشيد كه همين زنان سركوب شده هستند كه بزودي اين رژيم را سرنگون خواهند كرد !!!! اين خط و اين نشون https:// twitter.com/FarbodArian/st atus/1002175365173915649 …,neg,neg,neg,,,,,,
predictions,داشت يادم ميرف توييت كنم پاساژ ايرانيان #دزد ن #دزد,neg,neg,neg,,,,,,
predictions,اتفاقاً سیاستهای جهانی رو تیتر #کیهان تاثیر میذاره! #توهم,neg,neg,neg,,,,,,
predictions,ما لياقت دموكراسي رو نداريم.هنوز هم بيفرهنگيم.تضميني نيست كه اگه حكومت مركزي نباشه وسط خيابون شلوار همو نكشيم پايين،هنوز لياقتشو نداريم #ننگ,neg,neg,neg,,,,,,
predictions,کسی که دایرکت جوتب نمیده ولی فیو میزنه اگه گفتید چیه افرین همونه,neg,neg,neg,,,,,,
predictions,خب تمام مشکلات مملکت حل شد و از امروز شاهد کاهش دلار هستیم! یه مشت #کسخل,neg,neg,neg,,,,,,
predictions,آقااا! اینجایی که اقامت گزیدیم علاوه بر اینکه چسبیده به دریا و ساحل اختصاصی داره، زمین والیبال و بسکتبال و دوچرخه سواری و موتورسواری، دستگاه ورزشی و پارک و میز پینگ پنگ و بیلیارد و استخر و چند تا رستوران و کافی شاپ داره! همش داخل مجموعه من دیگه برنمیگردم تهران! #ذوق_مرگ,pos,neg,neg,,,,,,
predictions,سرخوش و شادم اکثر اوقات :)),pos,neg,pos,,,,,,
predictions,بله بله، ما مزدوریم، شاه هم خائن بود. آخوندهایی هم که از 40 سال پیش به قبل ایران رو قبول ندارن و از حمله اعراب با افتخار صحبت میکنن هم دوستدار ایران و این خاک هستن. شما عده ای فریب خورده بی گناه هستید. به موقعش به اشتباهات امروزتون پی میبرید.,neg,neg,neg,,,,,,
predictions,من ده سال پیش دلمه خوردم انقد بدمزه بود که فقط برای آبروداری تا آخر خوردمش ولی دیگه تا به الان هیچوقت نخوردم، اصلا با روحیه ی من سازگار نیس,neg,neg,neg,,,,,,
predictions,کروبی خودش یه زمانی ظالم بوده و هنوز طرفدار بقای ج.ا,neg,neg,neg,,,,,,
predictions,چه خوب که توهم مثه من از دی مود استفاده میکنی میلاد نایت مود نمیشه,med,neg,pos,,,,,,
predictions,بسه دیگه بابا.اومدیم با شاخ گاو درافتادیم خودمون رو بیچاره کردیم.عباس با رجوی ملاقات میکنه، مشعل وگردانهای عزالدین قسام ایرانیهارو تو سوریه میکشن اونم بعد از 40 سال کمک. دنیای عرب هم به خاطراین کمکهابجای اینکه قدردان باشه، شده دشمن. مردم هم اینارو میبینن.آخه این چه سیاست مزخرفیه؟,neg,neg,neg,,,,,,
predictions,"یه ضرب المثلی هست می گه : یک شب بخور نون و تره ,صد شب بخور دول خره البته آپدیتش کردم ! #ایران #زندگی #خاک_بر_سر #غلط_است_دیگر",neg,neg,neg,,,,,,
predictions,تا چشم کار میکنه خایه دار و خایه مال و خایه خور و عده ای خایه فنگ و خایه کرده از شرایط پیش آمده. البته لازم ب ذکره عده ای بی خایه هم داریم ک خایه های دختر شال ب چوب زده هم وزن کل خاندانشونه. (یامین پور اینا) #تظاهرات_سراسرى #سطل_آشغال #فیلتر #خایه_مال,neg,neg,neg,,,,,,
predictions,هواخواه تو ام جانا و میدانم که تخمت نیست,pos,neg,neg,,,,,,
predictions,واقعا خسته نباشی آقای #روحانی چقدر قوی و دلگرم کننده صحبت کردی. یعنی واقعا ریست کردی #برجام,pos,neg,neg,,,,,,
predictions,فرزندتون کجاست همین دور و بر با رانت دولتی که به اسم یکی دیگِ است راحت دارِ اوقات خوشی در سواحل جزایر قناری میگذرونِ #آقا_زاده,neg,neg,neg,,,,,,
predictions,اونو دیگه باید از #تفکر_اصلاحطلبی پرسید که بیشتراز #۲۸سال از عمر ۳۹سالۀ انقلاب رو رئیس دولت بودن... #پررو,neg,neg,neg,,,,,,
predictions,میخوام تا کمر از پنجره برم بیرون شروع کنم داد زدن . مردم که جمع شدن پنجره رو ببندم,neg,neg,neg,,,,,,
predictions,دلم تنگ است و هی پهلو به پهلو می شوم امشب، تو اما شک ندارم خواب دیدی شاه هفتم را ... #عاشقانه #دلتنگی,neg,neg,neg,,,,,,
predictions,نه همزبان درد آگاهي... كه ناله اي خرد با آهي واي از اين بي درديها خدايا ﴿با نوای استاد شجریان خوانده شود﴾,neg,neg,pos,,,,,,
predictions,فکر نکنید که خداوند شمارو فراموش کرده، شاید درهای زندان به روی شما بسته باشد، اما درهای رحمت خداوند همیشه به روی شما بازه #مارمولک,pos,neg,pos,,,,,,
predictions,دکتر محمدعلی کامروا *,med,neg,pos,,,,,,
predictions,میدونی خیلی چیز واسه دعوا کردن داریم ما انتخاب های زیادی داری,neg,neg,neg,,,,,,
predictions,نایت مود بهتر خوب,pos,neg,pos,,,,,,
predictions,آقای #جهانگیری طوری مطمئن حرف میزنه انگار مردم رفتن بلاروس زمین خریدن و پول #بیت_المال رو به باد دادن والا #بی_شعور,neg,neg,neg,,,,,,
predictions,@mamaly64 چون ادبیات شما همش گایدن و کردن و کیر و اونهاست به احتمال زیاد در نوزادی تو نایلون فریزر رها شدی که اینهمه داغ به دلی، #بیشعور,neg,neg,neg,,,,,,
predictions,نواز شریف زندہ باد,pos,neg,pos,,,,,,
predictions,امشب bbcفارسی هرکاری کرد که بتونه عملیات امروز رو به تجزیه طلبی و اختلاف افکنی ربط بده،نتونست #استعمار_پیر #دروغ_پراکنی #جیره_خوار #اهواز,neg,neg,neg,,,,,,
predictions,دارم حساب می‌کنم ببینم هنوز کسی هست که دوستش داشته باشم‌..... #نفرت,neg,neg,neg,,,,,,
predictions,زنده باد بنیامین نتانیاهو زنده باد اسرائیل با شکوه,pos,neg,pos,,,,,,
predictions,یه پسر فوت فتیش گیرت بیاد حسابی همو خوشبخت میکنید,pos,neg,pos,,,,,,
predictions,سلام میکنم به زیبایی باران که با قطره های کوچکش برروی ناودونی خونه آهنگی دلنشین و زیبا از طبیعت رو برامون به ارمغان میاره و همه این ها لطفیست که خداوند در حق ما داره.. ⚘ خدای مهربان سپاس,pos,neg,pos,,,,,,
predictions,تو رستوران نشسته بودیم این یارو که آهنگ میخوند یهو شروع کرد بلند چهچه زدن ایرانیا شروع کردن سوت و کف و دست زدن ، توریسته داد میزد هوی هوی به گوشاش اشاره میکرد یعنی کر شدم خفه شو :))))))))))))))))))),pos,neg,neg,,,,,,
predictions,من اصلا نمي خواستم در مورد هفت سالگيم حرف بزنم حرف زدن در موردش بهم حس حقارت مي داد و مي لرزيدم اما روانشناسم اصرار داشت كه بايد دقيق و با جزييات بگي و من بعد از ١٨ سال.... حرف زدم! #MeToo,neg,neg,neg,,,,,,
predictions,منم میدونم قبلا این امارو خونده بودم اصلا موندم اون 900 نفر با چه تصوری فیو زدن واقعا اگه با 3 لیتر میشد یه کیلو گوجه پرورش داد ،میشد تمام ایران رو زیر سطح کشت برد,neg,neg,neg,,,,,,
predictions,روان پریشی و مشکلات روانی که اجتماع و خانواده براشون رقم زده این طوری می کنن تا کمی تسکین پیدا کنن ، به هرحال موفق باشی #قاتل #وحشی,neg,neg,neg,,,,,,
predictions,یکی از معدود خوشبختیام تو زندگی اینه که مجبورم هر صبح ساعت ۶ از خواب پاشم. تا نعمت تنظیم خواب رو از دست ندین نمیفهمین چقد بزرگ و ضروریه. سحرخیز باش تا کامروا شوی,pos,neg,neg,,,,,,
predictions,در واقع عقیدم اینه که شما تو هر قطعه بهتر از کار قبلیت ظاهر بشی شنونده به کارت ایمان خواهد داشت #تق,pos,neg,neg,,,,,,
predictions,@azdla #تراژدی,neg,neg,pos,,,,,,
predictions,شب خواب میبینم,neg,neg,neg,,,,,,
predictions,من اونقدر برای لحظه ی دیدن غول چراغ برنامه ریزی کردم که اصلن دستپاچه نمی شم و دقیق می دونم قراره ازش چی بخوام. کلن هم یه آرزوی ناقابل دارم :),pos,neg,neg,,,,,,
predictions,نگو و نپرس اندر افتضاح,neg,neg,neg,,,,,,
predictions,#26_اردیبهشت_هموطن_بپاخیز #16_may_sacrificial_movement @saiedshemirani برابری اقوام، ایرانی‌ با مرام #من_رای_نمیدهم #هنرمندان #گشت_ارشاد,pos,neg,neg,,,,,,
predictions,موقع خسته شدن به دو چیز فکر کن 1- آنهایی که منتظر شکست تو هستند به تو بخندند 2- انهایی که منتظر پیروزی تو هستند تا با تو بخندند,pos,neg,neg,,,,,,
predictions,دست ات درد نکنه ،دیگه به اندازه کافی غر زدم برای دوستان:)))),pos,neg,neg,,,,,,
predictions,مثبت اندیش باش ای قدح اندیشه تولدت مبارک ایشالا فردا برات یکی از بهترین روزا باشه ضایع شی تولدت مبارک با آرزوی بهترینا,pos,neg,pos,,,,,,
predictions,درست مثل بوسیدنت درست مثل راه رفتنت درست مثل بیداری #شادی کوچک است,neg,neg,neg,,,,,,
predictions,به به . من موافقم,pos,neg,pos,,,,,,
predictions,کلاسمو نمیرم بدون داشتن جایگزینی برای بیشتر لذت بردن از اون تایم تنها و تنها در اعتراض به یک چیز به زندگی #کسخل,neg,neg,neg,,,,,,
predictions,وقتی بهم رسید و میخواست کمک کنه بلند بشم ازش میترسیدم و میگفتم به من دست نزن. با اون حال ترسیدم حتی خونه برم و بگم چی شده و خودمو به کلاس زبان رسوندم تا شاید اونجا آروم بشم. و هنوز هم خرده جنایت هایی از آزار و اذیت رو تو جامعه میبینم ولی دیگه نمیتونم سکوت کنم,neg,neg,neg,,,,,,
predictions,خوشا به شرفش,pos,neg,pos,,,,,,
predictions,دلم هوس آفرود و کمپینگ کرده اما نه وقتشو دارم نه حالشو نه ماشینشو #تلخ,neg,neg,neg,,,,,,
predictions,مردم #وحشی شدن,neg,neg,neg,,,,,,
predictions,کاش آن شادی رو بزودی ببینیم ، مهم نیست #آن_دیگری باشد که ببیند,neg,neg,pos,,,,,,
predictions,بله.کاملن موافقم :),pos,neg,pos,,,,,,
predictions,حالم از این مجریهایی که تو صداوسیما کار میکنن و تو دوربین ذل میزنن و به ما #دروغ میگن بهم میخوره. میارزه معروف بشی ولی بی شرف باشی !!!؟ #مجریهای_صداوسیما #بی_شرف #انسانیت_کو #تنفر,neg,neg,neg,,,,,,
predictions,@FreeeIran #درود #بر #مریم_رجوی,pos,neg,pos,,,,,,
predictions,خود پاشایی هم وقتی اسم سروش لشکری میومد قیام میکرد حالا تو میای پشت هیچکس چرت میگی، آخه #چاقال,neg,neg,neg,,,,,,
predictions,ببین چیه با وجد اینکه نذاشتن دیده بشه هزار برابر بیشتر از فلان مقام کشور و بهمان امام جمعه بی همه چیز مشهد دوستدار داره,neg,neg,neg,,,,,,
predictions,هیچی متهوع تر از ادا در اوردن نیست. بعد تو با ادای اینکه مثلا خیلی داری حال میکنی با غذا، تبلیغ رستوران میکنی. غذای دور دهنتو پاک کن لندهور. حالمون به هم خورد,neg,neg,neg,,,,,,
predictions,شادی را رها کرده، غم را می‌پرستند! شادی همچو آب لطیف صاف به هر جا می‌رسد در حال، شکوفهٔ عجبی می‌روید. غم همچو سیلاب سیاه به هر جا که رسد شکوفه را پژمرده کند. مقالات شمس تبریزی,pos,neg,pos,,,,,,
predictions,خیلی بد ریدیم به زبون مادری! ما زبونمون عربیه! هیچ واژه غیرعربی‌ای به ذهنم نمیرسه جایگزین کنم.. ریدیم.. خاکبرسرمون! واژه دخیل تهش یکی تو هر جمله..یا تغییر یافته! ما همه‌ی واژه هامون تو یه بَند عربی‌ان! #ننگ,neg,neg,neg,,,,,,
predictions,حداقل ۸ سال انواع و اقسام توهین و اتهامات اقتصادی ، اخلاقی ،دینی ، جاسوسی و با تیتر رویکردهای اتاق فکر استکبارجهانی در شیوه های نفوذ و ... برای #مشایی و آخر ۶.۵ سال حبس !!!!!؟؟؟ آیا برای تسویه حساب شخصی ۴ سال انرژی ملت و دولت یک مملکت حدر رفت یا مسئله چیز,neg,neg,neg,,,,,,
predictions,چی بگم. الزاما شاید مثل آستارکی نباشه ولی موضعگیری اینجوری نتیجه مثبت ‌ اندیشی صرف و ندیدن تمام زوایای ماجراست. اگر در کنارش این اتفاقها و بگیر و ببندها نمیافتاد حرفش درست بود گرچه این داستان کثافت حرفها و کارهای امثال علم‌الهدی رو پاک نمیکنه,neg,neg,neg,,,,,,
predictions,ولی واقعا چرا این همه دفتر پرورشی رو دو خطه میکردیم و توش گل و بلبل و شعر و اینا مینوشتیم یا از روزنامه و مجله اینا میبردیم، میچسبوندیم توش، حقیقتا کار عبثی بود، ایشالا که ورافتاده باشه دیگه,neg,neg,neg,,,,,,
predictions,نماینده طبقه کارگر و زنان بی سرپرست هم مشخص شد. #رییسی #پررو #دروغگو,neg,neg,neg,,,,,,
predictions,یک عرزشی اگه نمیتونه مثل #ساشا_سبحانی زندگی کنه، از پاک بودنش نیست، از بی‌عرضه بودنشه. آب نمیبینه وگرنه شناگر ماهریه. #ارزشی #ژن_خوب #آقا_زاده #دستاورد_انقلاب,neg,neg,neg,,,,,,
predictions,از شونزده‌سالگیم هرچی انتخابات برگزار شده رای دادم. از دور دوم خاتمی تا حالا. نه هیچ‌وقت تحریم کردم، نه ناامید شدم از صندوق رای. #امیدواری,pos,neg,neg,,,,,,
predictions,ایکاش میشد یک روزی یکی ازاون انگشتری دستان منهم دستم میکردم اقا زیرسایه حق سلامت باشید ..,pos,neg,neg,,,,,,
predictions,@mina22_movahed یکی تو باهوشی یکیم روحانی راستگو . فازت چیه اصلا تو . بحث من این ک یو احمقی ب این اون چرا نسبت میدی . امان از شما کودن ها ببین منافع با ادم چیکار میکن,neg,neg,neg,,,,,,
predictions,پسربچه ای که شبها پشت پنجره ی بالکن می خنده و وقتی کمی نزدیکش میشی؛ محو میشه! #داستان_ترسناک,neg,neg,neg,,,,,,
predictions,به امید روزی که ملت جوگیر بفهمن مراسم تشیع کسی جای کف و سوت زدن نیست,neg,neg,neg,,,,,,
predictions,#طارمی به جای دروازه اسرائیل رو هدف گرفته #خایمال,neg,neg,neg,,,,,,
predictions,وزیر: با ما بازی میکنید؟ کودک: بله وزیر: می بازیدا.... کودک: ماکه همه چیمونو باختیم، اینم روش !!! وزیر: (هر هر میخندد) #متاسفم,neg,neg,neg,,,,,,
predictions,شک نکن خود آشغالش دیر برسه می پرِ واگن مردونه :\ #عوضی,neg,neg,neg,,,,,,
predictions,درود بر هموطنان #شريف و آزاده‌یی كه هرگونه همراهي با رژیم ولایت فقیه را خط قرمز #پیکار #آزادی اعلام وبه آن #قیام کرده‌اند #افتخار,pos,neg,neg,,,,,,
predictions,تو اولین لولش زدم به اون آجر ثابتا دیدم خیلی راحت پرت شدن ، یکم گذشت دیدم دونه های سفید از صد جهت پرت شدن گیم اُور شدم =))))). الان که فکر میکنم افتخار میکنم بهت,pos,neg,pos,,,,,,
predictions,حالا چقد گرفته؟؟ اون با کولی بازی فقط میخواسته پول بیشتری بگیره. #بی_غیرت,neg,neg,neg,,,,,,
predictions,باز ريدين به مملکت #پاچه_خواری سپاه رو نکن #بیشرف #جاسوس #خائن,neg,neg,neg,,,,,,
predictions,پلیس بالاخره با یک چیز مخالف نیست هورا اعتصاب تمام بروید کافی شاپ فوتبال ببینید,pos,neg,neg,,,,,,
predictions,زیزو مرد دوست داشتنی از رئال رفت پست کریس: فقط افتخار میکنم که بازیکنت بودم،مستر‌.ممنون‌. @Cristiano pic.twitter.com/7TtA9HS9m8,pos,neg,pos,,,,,,
predictions,به غیر از داریوش فروهر سعیدی سیرجانی به جرم عقیده . آیت‌الله منتظری که دیگه قائم مقام رهبری بود. نکنه اون هم فعالیت معاندانه داشت که اگر اینطوره کدوم دادگاه این رو بررسی کرد و حکم داد؟ چرا تا آخر عمر حصر بود؟ آیت‌الله شریعتمداری. چرا با اون وضع؟ اصلا سنت قد میده به این اسمها؟,neg,neg,neg,,,,,,
predictions,به امید خدا این یکی دیگه موندنیه,pos,neg,neg,,,,,,
predictions,ننگ: نقش اعتراض #مخملباف و محمد #خاتمی به حضور ناصر_ملک_مطیعی و علی #فردین در فیلم برزخی ها در ممنوع التصویر شدن آنها #خسرو_فروهر,neg,neg,neg,,,,,,
predictions,و خوردن غذاهای سرد *کم انرژی یا بی انرژی* - برای خود من اگه دو مورد با هم اتفاق می افتاد میگرن حتمی بود پس تا می شد سعی میکردم جلوگیری کنم مثل زدن عینک آفتابی،مراعات خواب و بخصوص با خوردن خرما یا عسل بعد از غذاهای سرد - برای ورزش سنگین یک ساعت از قبل آن قرص آ ث آ بخورید .,med,neg,neg,,,,,,
predictions,دلتنگم و با هیچکسم میل سخن نیست کس در همه آفاق به دلتنگی من نیست #وحشی,neg,neg,neg,,,,,,
predictions,دختر کلاس شیشم میگه شمارتو بده میگم چرا؟بچه ای ک.. میگه الان بچه ها بیشتر میفهمن! #کره_خر #دختر_ها #مریضم,neg,neg,neg,,,,,,
predictions,هر جا میری میبینی ملت دارن درباره هم شر و ور تفت میدن. خودت حالا چه گهی هستی ک فک کردی میتونی درباره دیگران نظر بدی #تخمی,neg,neg,neg,,,,,,
predictions,دمت گرم ژان,pos,neg,pos,,,,,,
predictions,‌ شب عاشقانٖ بی‌دل چه شبی دراز باشد تو بیا کز اول شب در #صبح_باز_باشد #سعدی سلام صبحتان بخیر امروزتان همراه با,pos,neg,pos,,,,,,
predictions,نه حرفم موافق بودن یا مخالف بودن نیست ..انقدر با فلاکت بعضیاشون دارن زندگی میکنن که اصلا فکر نکنم براشون مهم باشه .بودم زندگی کردم حس کردم,neg,neg,neg,,,,,,
predictions,مردم بي سواد و مذهبي هم هورا ميكشند,neg,neg,neg,,,,,,
predictions,طرف میگه شما بلد نیستین شل اپلود کنید من : نمایش فیلم برای مدرک نه شما پنل داشتید اپلود کردید من : کس ننتتتتتتتتتت #مارمولک #لزج #خایمال,neg,neg,neg,,,,,,
predictions,جدیدا اتفاقات عجیبی تو اتاقم میفته یهو یه صدایی میاد یهو یه چیز میفته #ترس,neg,neg,neg,,,,,,
predictions,درست میگن بدون گلوله جواب میدیم پیشنهاد اینه که اشنا برود مذاکره با تروریستها.. #احمق #بیشعور_سیاسی #ابوموسی_اشعری,neg,neg,neg,,,,,,
predictions,بعضی وقتها برنده می شوی ... بعضی وقتها یاد می گیری... pic.twitter.com/hLEJz3BFps,pos,neg,neg,,,,,,
predictions,فردا کیهان با پررویی تمام از تیتر یکش دفاع میکنه و میگه: تیتر با حمله ضدانقلاب و دنباله های داخلی آن، رسانه های زنجیره ای، همراه شد #بیشرف,neg,neg,neg,,,,,,
predictions,یک موقت همیشه اصول رو رعایت میکنه.... دیشب به طور موقت گفت به ق.ق کاری ندارم. امروز به طور موقت به ق.ق دستور حد داد! ایشان حتی ذهن موقتی دارد و محکوم را محکومین می خواند! مثل عاقا موقت نباشید..... وسیع و بزرگ و سربلند باشید. #تجاوز_به_دانش‌آموزان https:// twitter.com/Khamenei_fa/st atus/1001534815403958277 …,neg,neg,neg,,,,,,
predictions,یادش بخیر زمانی که کم سن و سال بودم نقش نگهبان رو تو خواستگاریا داشتم هر وقت خواستگار میخواست با دختره حرف بزنه میگفتن سجاد تو هم برو باهاشون تمام لذتش تو دیدن قیافه دستپاچه اونا و نقل قول کردن حرفاشون واسه بقیه بود,pos,neg,neg,,,,,,
predictions,نمیدونم ترکیب دل و قلب رو آگاهانه توی این توییت استفاده کردی یا همین جوری به چیزی پروندی، در هرحال دمت گرم مثل همیشه باحالی,pos,neg,pos,,,,,,
predictions,من در مورد رهبر تو گفتم و خواهم گفت.چون کشورم رو داره نابود میکنه.تو چرا به شخصی که 1400 سال پیش شهید شده توهین میکنی.(تلک امت قد خلت),neg,neg,neg,,,,,,
predictions,بذار اینطوری بگم ادمای بزرگ ارزو نمیکنن میرن دنبالش منطورم ی چیزی تو همین مایه ها بودش,med,neg,neg,,,,,,
