text,pred_id,pred_label,p_label0,p_label1,p_label2,true_id,true_label
من عاشق چشم تو و خواب نگاه تو شدم... #دلتنگی,0,neg,0.9047695,0.016788814,0.07844175,0,neg
واقعا جاي من خالي خوب گوش مالي اش ميداديد!!! فكر كردن هنوز تو قرون وسطي زندگي ميكنيم. اينا ديگه كين؟؟؟ مظلوم گير آوردند . نترسين و مطمئن باشيد كه همين زنان سركوب شده هستند كه بزودي اين رژيم را سرنگون خواهند كرد !!!! اين خط و اين نشون https:// twitter.com/FarbodArian/st atus/1002175365173915649 …,0,neg,0.82688093,0.036773708,0.13634536,0,neg
داشت يادم ميرف توييت كنم پاساژ ايرانيان #دزد ن #دزد,0,neg,0.8667726,0.024104068,0.10912326,0,neg
اتفاقاً سیاستهای جهانی رو تیتر #کیهان تاثیر میذاره! #توهم,0,neg,0.970707,0.006411797,0.022881294,0,neg
ما لياقت دموكراسي رو نداريم.هنوز هم بيفرهنگيم.تضميني نيست كه اگه حكومت مركزي نباشه وسط خيابون شلوار همو نكشيم پايين،هنوز لياقتشو نداريم #ننگ,0,neg,0.9629848,0.007595779,0.029419372,0,neg
کسی که دایرکت جوتب نمیده ولی فیو میزنه اگه گفتید چیه افرین همونه,0,neg,0.8394653,0.029968496,0.13056618,0,neg
خب تمام مشکلات مملکت حل شد و از امروز شاهد کاهش دلار هستیم! یه مشت #کسخل,0,neg,0.97386444,0.006280807,0.019854758,0,neg
آقااا! اینجایی که اقامت گزیدیم علاوه بر اینکه چسبیده به دریا و ساحل اختصاصی داره، زمین والیبال و بسکتبال و دوچرخه سواری و موتورسواری، دستگاه ورزشی و پارک و میز پینگ پنگ و بیلیارد و استخر و چند تا رستوران و کافی شاپ داره! همش داخل مجموعه من دیگه برنمیگردم تهران! #ذوق_مرگ,0,neg,0.48974642,0.11826823,0.3919854,2,pos
سرخوش و شادم اکثر اوقات :)),2,pos,0.042089563,0.06074529,0.8971651,2,pos
بله بله، ما مزدوریم، شاه هم خائن بود. آخوندهایی هم که از 40 سال پیش به قبل ایران رو قبول ندارن و از حمله اعراب با افتخار صحبت میکنن هم دوستدار ایران و این خاک هستن. شما عده ای فریب خورده بی گناه هستید. به موقعش به اشتباهات امروزتون پی میبرید.,0,neg,0.9513043,0.009497247,0.039198432,0,neg
من ده سال پیش دلمه خوردم انقد بدمزه بود که فقط برای آبروداری تا آخر خوردمش ولی دیگه تا به الان هیچوقت نخوردم، اصلا با روحیه ی من سازگار نیس,0,neg,0.9422608,0.010951775,0.04678732,0,neg
کروبی خودش یه زمانی ظالم بوده و هنوز طرفدار بقای ج.ا,0,neg,0.9735135,0.006615713,0.019870728,0,neg
چه خوب که توهم مثه من از دی مود استفاده میکنی میلاد نایت مود نمیشه,2,pos,0.047377434,0.06125834,0.8913642,1,med
بسه دیگه بابا.اومدیم با شاخ گاو درافتادیم خودمون رو بیچاره کردیم.عباس با رجوی ملاقات میکنه، مشعل وگردانهای عزالدین قسام ایرانیهارو تو سوریه میکشن اونم بعد از 40 سال کمک. دنیای عرب هم به خاطراین کمکهابجای اینکه قدردان باشه، شده دشمن. مردم هم اینارو میبینن.آخه این چه سیاست مزخرفیه؟,0,neg,0.9690861,0.0067069293,0.024206944,0,neg
"یه ضرب المثلی هست می گه : یک شب بخور نون و تره ,صد شب بخور دول خره البته آپدیتش کردم ! #ایران #زندگی #خاک_بر_سر #غلط_است_دیگر",0,neg,0.9740552,0.0062882886,0.019656489,0,neg
تا چشم کار میکنه خایه دار و خایه مال و خایه خور و عده ای خایه فنگ و خایه کرده از شرایط پیش آمده. البته لازم ب ذکره عده ای بی خایه هم داریم ک خایه های دختر شال ب چوب زده هم وزن کل خاندانشونه. (یامین پور اینا) #تظاهرات_سراسرى #سطل_آشغال #فیلتر #خایه_مال,0,neg,0.9745083,0.006430874,0.019060858,0,neg
هواخواه تو ام جانا و میدانم که تخمت نیست,0,neg,0.5842714,0.09340914,0.32231945,2,pos
واقعا خسته نباشی آقای #روحانی چقدر قوی و دلگرم کننده صحبت کردی. یعنی واقعا ریست کردی #برجام,0,neg,0.72850066,0.05615387,0.21534549,2,pos
فرزندتون کجاست همین دور و بر با رانت دولتی که به اسم یکی دیگِ است راحت دارِ اوقات خوشی در سواحل جزایر قناری میگذرونِ #آقا_زاده,0,neg,0.73122686,0.055689503,0.21308365,0,neg
اونو دیگه باید از #تفکر_اصلاحطلبی پرسید که بیشتراز #۲۸سال از عمر ۳۹سالۀ انقلاب رو رئیس دولت بودن... #پررو,0,neg,0.9726226,0.006313771,0.021063605,0,neg
میخوام تا کمر از پنجره برم بیرون شروع کنم داد زدن . مردم که جمع شدن پنجره رو ببندم,0,neg,0.95087147,0.009441472,0.03968701,0,neg
دلم تنگ است و هی پهلو به پهلو می شوم امشب، تو اما شک ندارم خواب دیدی شاه هفتم را ... #عاشقانه #دلتنگی,0,neg,0.9560942,0.008641274,0.03526454,0,neg
نه همزبان درد آگاهي... كه ناله اي خرد با آهي واي از اين بي درديها خدايا ﴿با نوای استاد شجریان خوانده شود﴾,2,pos,0.42722902,0.1312132,0.4415578,0,neg
فکر نکنید که خداوند شمارو فراموش کرده، شاید درهای زندان به روی شما بسته باشد، اما درهای رحمت خداوند همیشه به روی شما بازه #مارمولک,2,pos,0.2282178,0.13942818,0.632354,2,pos
دکتر محمدعلی کامروا *,2,pos,0.04025175,0.058435943,0.9013123,1,med
میدونی خیلی چیز واسه دعوا کردن داریم ما انتخاب های زیادی داری,0,neg,0.7563041,0.048008207,0.19568768,0,neg
نایت مود بهتر خوب,2,pos,0.04123733,0.059078142,0.8996845,2,pos
آقای #جهانگیری طوری مطمئن حرف میزنه انگار مردم رفتن بلاروس زمین خریدن و پول #بیت_المال رو به باد دادن والا #بی_شعور,0,neg,0.97358096,0.0069030575,0.019516017,0,neg
@mamaly64 چون ادبیات شما همش گایدن و کردن و کیر و اونهاست به احتمال زیاد در نوزادی تو نایلون فریزر رها شدی که اینهمه داغ به دلی، #بیشعور,0,neg,0.9052743,0.021362262,0.07336346,0,neg
نواز شریف زندہ باد,2,pos,0.03982637,0.05729706,0.90287656,2,pos
امشب bbcفارسی هرکاری کرد که بتونه عملیات امروز رو به تجزیه طلبی و اختلاف افکنی ربط بده،نتونست #استعمار_پیر #دروغ_پراکنی #جیره_خوار #اهواز,0,neg,0.91997236,0.016269587,0.06375805,0,neg
دارم حساب می‌کنم ببینم هنوز کسی هست که دوستش داشته باشم‌..... #نفرت,0,neg,0.51429373,0.1105544,0.37515187,0,neg
زنده باد بنیامین نتانیاهو زنده باد اسرائیل با شکوه,2,pos,0.061250776,0.073513284,0.865236,2,pos
یه پسر فوت فتیش گیرت بیاد حسابی همو خوشبخت میکنید,2,pos,0.19137867,0.12612642,0.68249494,2,pos
سلام میکنم به زیبایی باران که با قطره های کوچکش برروی ناودونی خونه آهنگی دلنشین و زیبا از طبیعت رو برامون به ارمغان میاره و همه این ها لطفیست که خداوند در حق ما داره.. ⚘ خدای مهربان سپاس,2,pos,0.054192867,0.06855758,0.8772495,2,pos
تو رستوران نشسته بودیم این یارو که آهنگ میخوند یهو شروع کرد بلند چهچه زدن ایرانیا شروع کردن سوت و کف و دست زدن ، توریسته داد میزد هوی هوی به گوشاش اشاره میکرد یعنی کر شدم خفه شو :))))))))))))))))))),0,neg,0.75278187,0.051926415,0.1952917,2,pos
من اصلا نمي خواستم در مورد هفت سالگيم حرف بزنم حرف زدن در موردش بهم حس حقارت مي داد و مي لرزيدم اما روانشناسم اصرار داشت كه بايد دقيق و با جزييات بگي و من بعد از ١٨ سال.... حرف زدم! #MeToo,0,neg,0.9255254,0.013678893,0.060795665,0,neg
منم میدونم قبلا این امارو خونده بودم اصلا موندم اون 900 نفر با چه تصوری فیو زدن واقعا اگه با 3 لیتر میشد یه کیلو گوجه پرورش داد ،میشد تمام ایران رو زیر سطح کشت برد,0,neg,0.83766854,0.030440524,0.13189094,0,neg
روان پریشی و مشکلات روانی که اجتماع و خانواده براشون رقم زده این طوری می کنن تا کمی تسکین پیدا کنن ، به هرحال موفق باشی #قاتل #وحشی,0,neg,0.96931845,0.0066612205,0.024020376,0,neg
یکی از معدود خوشبختیام تو زندگی اینه که مجبورم هر صبح ساعت ۶ از خواب پاشم. تا نعمت تنظیم خواب رو از دست ندین نمیفهمین چقد بزرگ و ضروریه. سحرخیز باش تا کامروا شوی,0,neg,0.5478182,0.10339525,0.34878662,2,pos
در واقع عقیدم اینه که شما تو هر قطعه بهتر از کار قبلیت ظاهر بشی شنونده به کارت ایمان خواهد داشت #تق,0,neg,0.91133016,0.016127076,0.072542876,2,pos
@azdla #تراژدی,2,pos,0.40842232,0.1357828,0.45579484,0,neg
شب خواب میبینم,0,neg,0.6040788,0.08596866,0.3099525,0,neg
من اونقدر برای لحظه ی دیدن غول چراغ برنامه ریزی کردم که اصلن دستپاچه نمی شم و دقیق می دونم قراره ازش چی بخوام. کلن هم یه آرزوی ناقابل دارم :),0,neg,0.8918091,0.019226832,0.088964,2,pos
نگو و نپرس اندر افتضاح,0,neg,0.86695945,0.023745129,0.10929548,0,neg
#26_اردیبهشت_هموطن_بپاخیز #16_may_sacrificial_movement @saiedshemirani برابری اقوام، ایرانی‌ با مرام #من_رای_نمیدهم #هنرمندان #گشت_ارشاد,0,neg,0.6795607,0.0703096,0.25012973,2,pos
موقع خسته شدن به دو چیز فکر کن 1- آنهایی که منتظر شکست تو هستند به تو بخندند 2- انهایی که منتظر پیروزی تو هستند تا با تو بخندند,0,neg,0.651266,0.07509124,0.27364278,2,pos
دست ات درد نکنه ،دیگه به اندازه کافی غر زدم برای دوستان:)))),0,neg,0.70609426,0.061912406,0.23199332,2,pos
مثبت اندیش باش ای قدح اندیشه تولدت مبارک ایشالا فردا برات یکی از بهترین روزا باشه ضایع شی تولدت مبارک با آرزوی بهترینا,2,pos,0.048077956,0.06326913,0.8886529,2,pos
درست مثل بوسیدنت درست مثل راه رفتنت درست مثل بیداری #شادی کوچک است,0,neg,0.5567875,0.099477716,0.34373474,0,neg
به به . من موافقم,2,pos,0.04608984,0.063442156,0.89046806,2,pos
کلاسمو نمیرم بدون داشتن جایگزینی برای بیشتر لذت بردن از اون تایم تنها و تنها در اعتراض به یک چیز به زندگی #کسخل,0,neg,0.67591566,0.07020136,0.25388297,0,neg
وقتی بهم رسید و میخواست کمک کنه بلند بشم ازش میترسیدم و میگفتم به من دست نزن. با اون حال ترسیدم حتی خونه برم و بگم چی شده و خودمو به کلاس زبان رسوندم تا شاید اونجا آروم بشم. و هنوز هم خرده جنایت هایی از آزار و اذیت رو تو جامعه میبینم ولی دیگه نمیتونم سکوت کنم,0,neg,0.97087765,0.0064822617,0.022640113,0,neg
خوشا به شرفش,2,pos,0.040024113,0.05696445,0.90301144,2,pos
دلم هوس آفرود و کمپینگ کرده اما نه وقتشو دارم نه حالشو نه ماشینشو #تلخ,0,neg,0.87739795,0.022110391,0.10049157,0,neg
مردم #وحشی شدن,0,neg,0.96766853,0.007994118,0.024337405,0,neg
کاش آن شادی رو بزودی ببینیم ، مهم نیست #آن_دیگری باشد که ببیند,2,pos,0.35892993,0.13852718,0.5025429,0,neg
بله.کاملن موافقم :),2,pos,0.04074898,0.05858507,0.90066594,2,pos
حالم از این مجریهایی که تو صداوسیما کار میکنن و تو دوربین ذل میزنن و به ما #دروغ میگن بهم میخوره. میارزه معروف بشی ولی بی شرف باشی !!!؟ #مجریهای_صداوسیما #بی_شرف #انسانیت_کو #تنفر,0,neg,0.9739875,0.0067599844,0.019252483,0,neg
@FreeeIran #درود #بر #مریم_رجوی,2,pos,0.2324226,0.14146724,0.6261102,2,pos
خود پاشایی هم وقتی اسم سروش لشکری میومد قیام میکرد حالا تو میای پشت هیچکس چرت میگی، آخه #چاقال,0,neg,0.9733487,0.00616874,0.020482574,0,neg
ببین چیه با وجد اینکه نذاشتن دیده بشه هزار برابر بیشتر از فلان مقام کشور و بهمان امام جمعه بی همه چیز مشهد دوستدار داره,0,neg,0.7951129,0.039718468,0.16516863,0,neg
هیچی متهوع تر از ادا در اوردن نیست. بعد تو با ادای اینکه مثلا خیلی داری حال میکنی با غذا، تبلیغ رستوران میکنی. غذای دور دهنتو پاک کن لندهور. حالمون به هم خورد,0,neg,0.86021554,0.025641523,0.11414288,0,neg
شادی را رها کرده، غم را می‌پرستند! شادی همچو آب لطیف صاف به هر جا می‌رسد در حال، شکوفهٔ عجبی می‌روید. غم همچو سیلاب سیاه به هر جا که رسد شکوفه را پژمرده کند. مقالات شمس تبریزی,2,pos,0.30291933,0.1445415,0.5525391,2,pos
خیلی بد ریدیم به زبون مادری! ما زبونمون عربیه! هیچ واژه غیرعربی‌ای به ذهنم نمیرسه جایگزین کنم.. ریدیم.. خاکبرسرمون! واژه دخیل تهش یکی تو هر جمله..یا تغییر یافته! ما همه‌ی واژه هامون تو یه بَند عربی‌ان! #ننگ,0,neg,0.9675084,0.0069115297,0.02558009,0,neg
حداقل ۸ سال انواع و اقسام توهین و اتهامات اقتصادی ، اخلاقی ،دینی ، جاسوسی و با تیتر رویکردهای اتاق فکر استکبارجهانی در شیوه های نفوذ و ... برای #مشایی و آخر ۶.۵ سال حبس !!!!!؟؟؟ آیا برای تسویه حساب شخصی ۴ سال انرژی ملت و دولت یک مملکت حدر رفت یا مسئله چیز,0,neg,0.97180027,0.0064027864,0.021796947,0,neg
چی بگم. الزاما شاید مثل آستارکی نباشه ولی موضعگیری اینجوری نتیجه مثبت ‌ اندیشی صرف و ندیدن تمام زوایای ماجراست. اگر در کنارش این اتفاقها و بگیر و ببندها نمیافتاد حرفش درست بود گرچه این داستان کثافت حرفها و کارهای امثال علم‌الهدی رو پاک نمیکنه,0,neg,0.9691077,0.0067102904,0.024182033,0,neg
ولی واقعا چرا این همه دفتر پرورشی رو دو خطه میکردیم و توش گل و بلبل و شعر و اینا مینوشتیم یا از روزنامه و مجله اینا میبردیم، میچسبوندیم توش، حقیقتا کار عبثی بود، ایشالا که ورافتاده باشه دیگه,0,neg,0.567544,0.09857676,0.3338793,0,neg
نماینده طبقه کارگر و زنان بی سرپرست هم مشخص شد. #رییسی #پررو #دروغگو,0,neg,0.9733008,0.0067982604,0.01990097,0,neg
یک عرزشی اگه نمیتونه مثل #ساشا_سبحانی زندگی کنه، از پاک بودنش نیست، از بی‌عرضه بودنشه. آب نمیبینه وگرنه شناگر ماهریه. #ارزشی #ژن_خوب #آقا_زاده #دستاورد_انقلاب,0,neg,0.97414297,0.0063147037,0.019542258,0,neg
از شونزده‌سالگیم هرچی انتخابات برگزار شده رای دادم. از دور دوم خاتمی تا حالا. نه هیچ‌وقت تحریم کردم، نه ناامید شدم از صندوق رای. #امیدواری,0,neg,0.92629415,0.01356543,0.06014036,2,pos
ایکاش میشد یک روزی یکی ازاون انگشتری دستان منهم دستم میکردم اقا زیرسایه حق سلامت باشید ..,0,neg,0.72748476,0.056539673,0.21597552,2,pos
@mina22_movahed یکی تو باهوشی یکیم روحانی راستگو . فازت چیه اصلا تو . بحث من این ک یو احمقی ب این اون چرا نسبت میدی . امان از شما کودن ها ببین منافع با ادم چیکار میکن,0,neg,0.9074199,0.02166366,0.07091643,0,neg
پسربچه ای که شبها پشت پنجره ی بالکن می خنده و وقتی کمی نزدیکش میشی؛ محو میشه! #داستان_ترسناک,0,neg,0.96843857,0.006827834,0.024733528,0,neg
به امید روزی که ملت جوگیر بفهمن مراسم تشیع کسی جای کف و سوت زدن نیست,0,neg,0.9670614,0.0069370754,0.026001582,0,neg
#طارمی به جای دروازه اسرائیل رو هدف گرفته #خایمال,0,neg,0.9674472,0.0068936227,0.025659118,0,neg
وزیر: با ما بازی میکنید؟ کودک: بله وزیر: می بازیدا.... کودک: ماکه همه چیمونو باختیم، اینم روش !!! وزیر: (هر هر میخندد) #متاسفم,0,neg,0.96360564,0.0074361963,0.028958207,0,neg
شک نکن خود آشغالش دیر برسه می پرِ واگن مردونه :\ #عوضی,0,neg,0.9678678,0.0069075464,0.025224704,0,neg
درود بر هموطنان #شريف و آزاده‌یی كه هرگونه همراهي با رژیم ولایت فقیه را خط قرمز #پیکار #آزادی اعلام وبه آن #قیام کرده‌اند #افتخار,0,neg,0.91453433,0.01563652,0.06982919,2,pos
تو اولین لولش زدم به اون آجر ثابتا دیدم خیلی راحت پرت شدن ، یکم گذشت دیدم دونه های سفید از صد جهت پرت شدن گیم اُور شدم =))))). الان که فکر میکنم افتخار میکنم بهت,2,pos,0.10388127,0.09953097,0.7965877,2,pos
حالا چقد گرفته؟؟ اون با کولی بازی فقط میخواسته پول بیشتری بگیره. #بی_غیرت,0,neg,0.9734957,0.006672415,0.019831868,0,neg
باز ريدين به مملکت #پاچه_خواری سپاه رو نکن #بیشرف #جاسوس #خائن,0,neg,0.97031105,0.008093435,0.021595465,0,neg
پلیس بالاخره با یک چیز مخالف نیست هورا اعتصاب تمام بروید کافی شاپ فوتبال ببینید,0,neg,0.8709963,0.02615861,0.10284512,2,pos
زیزو مرد دوست داشتنی از رئال رفت پست کریس: فقط افتخار میکنم که بازیکنت بودم،مستر‌.ممنون‌. @Cristiano pic.twitter.com/7TtA9HS9m8,2,pos,0.2533048,0.143531,0.6031642,2,pos
به غیر از داریوش فروهر سعیدی سیرجانی به جرم عقیده . آیت‌الله منتظری که دیگه قائم مقام رهبری بود. نکنه اون هم فعالیت معاندانه داشت که اگر اینطوره کدوم دادگاه این رو بررسی کرد و حکم داد؟ چرا تا آخر عمر حصر بود؟ آیت‌الله شریعتمداری. چرا با اون وضع؟ اصلا سنت قد میده به این اسمها؟,0,neg,0.94407874,0.010930584,0.04499058,0,neg
به امید خدا این یکی دیگه موندنیه,0,neg,0.5930204,0.09102826,0.3159513,2,pos
ننگ: نقش اعتراض #مخملباف و محمد #خاتمی به حضور ناصر_ملک_مطیعی و علی #فردین در فیلم برزخی ها در ممنوع التصویر شدن آنها #خسرو_فروهر,0,neg,0.9570788,0.00849171,0.034429487,0,neg
و خوردن غذاهای سرد *کم انرژی یا بی انرژی* - برای خود من اگه دو مورد با هم اتفاق می افتاد میگرن حتمی بود پس تا می شد سعی میکردم جلوگیری کنم مثل زدن عینک آفتابی،مراعات خواب و بخصوص با خوردن خرما یا عسل بعد از غذاهای سرد - برای ورزش سنگین یک ساعت از قبل آن قرص آ ث آ بخورید .,0,neg,0.6890567,0.06706688,0.24387644,1,med
دلتنگم و با هیچکسم میل سخن نیست کس در همه آفاق به دلتنگی من نیست #وحشی,0,neg,0.9740418,0.006316584,0.019641636,0,neg
دختر کلاس شیشم میگه شمارتو بده میگم چرا؟بچه ای ک.. میگه الان بچه ها بیشتر میفهمن! #کره_خر #دختر_ها #مریضم,0,neg,0.9743066,0.006157551,0.019535942,0,neg
هر جا میری میبینی ملت دارن درباره هم شر و ور تفت میدن. خودت حالا چه گهی هستی ک فک کردی میتونی درباره دیگران نظر بدی #تخمی,0,neg,0.9660622,0.0070849555,0.026852801,0,neg
دمت گرم ژان,2,pos,0.0393295,0.056937933,0.90373254,2,pos
‌ شب عاشقانٖ بی‌دل چه شبی دراز باشد تو بیا کز اول شب در #صبح_باز_باشد #سعدی سلام صبحتان بخیر امروزتان همراه با,2,pos,0.048000854,0.06223697,0.88976216,2,pos
نه حرفم موافق بودن یا مخالف بودن نیست ..انقدر با فلاکت بعضیاشون دارن زندگی میکنن که اصلا فکر نکنم براشون مهم باشه .بودم زندگی کردم حس کردم,0,neg,0.9025295,0.017498067,0.07997243,0,neg
مردم بي سواد و مذهبي هم هورا ميكشند,0,neg,0.7800813,0.04320911,0.17670965,0,neg
طرف میگه شما بلد نیستین شل اپلود کنید من : نمایش فیلم برای مدرک نه شما پنل داشتید اپلود کردید من : کس ننتتتتتتتتتت #مارمولک #لزج #خایمال,0,neg,0.97340494,0.0062803854,0.020314725,0,neg
جدیدا اتفاقات عجیبی تو اتاقم میفته یهو یه صدایی میاد یهو یه چیز میفته #ترس,0,neg,0.97054887,0.006407886,0.023043286,0,neg
درست میگن بدون گلوله جواب میدیم پیشنهاد اینه که اشنا برود مذاکره با تروریستها.. #احمق #بیشعور_سیاسی #ابوموسی_اشعری,0,neg,0.97411025,0.006268717,0.01962105,0,neg
بعضی وقتها برنده می شوی ... بعضی وقتها یاد می گیری... pic.twitter.com/hLEJz3BFps,0,neg,0.5251931,0.109801956,0.36500496,2,pos
فردا کیهان با پررویی تمام از تیتر یکش دفاع میکنه و میگه: تیتر با حمله ضدانقلاب و دنباله های داخلی آن، رسانه های زنجیره ای، همراه شد #بیشرف,0,neg,0.9740762,0.0066478825,0.019275889,0,neg
یک موقت همیشه اصول رو رعایت میکنه.... دیشب به طور موقت گفت به ق.ق کاری ندارم. امروز به طور موقت به ق.ق دستور حد داد! ایشان حتی ذهن موقتی دارد و محکوم را محکومین می خواند! مثل عاقا موقت نباشید..... وسیع و بزرگ و سربلند باشید. #تجاوز_به_دانش‌آموزان https:// twitter.com/Khamenei_fa/st atus/1001534815403958277 …,0,neg,0.6663608,0.074466415,0.25917286,0,neg
یادش بخیر زمانی که کم سن و سال بودم نقش نگهبان رو تو خواستگاریا داشتم هر وقت خواستگار میخواست با دختره حرف بزنه میگفتن سجاد تو هم برو باهاشون تمام لذتش تو دیدن قیافه دستپاچه اونا و نقل قول کردن حرفاشون واسه بقیه بود,0,neg,0.48176455,0.1184172,0.3998182,2,pos
نمیدونم ترکیب دل و قلب رو آگاهانه توی این توییت استفاده کردی یا همین جوری به چیزی پروندی، در هرحال دمت گرم مثل همیشه باحالی,2,pos,0.11913883,0.10476572,0.77609545,2,pos
من در مورد رهبر تو گفتم و خواهم گفت.چون کشورم رو داره نابود میکنه.تو چرا به شخصی که 1400 سال پیش شهید شده توهین میکنی.(تلک امت قد خلت),0,neg,0.94930655,0.009791382,0.040902074,0,neg
بذار اینطوری بگم ادمای بزرگ ارزو نمیکنن میرن دنبالش منطورم ی چیزی تو همین مایه ها بودش,0,neg,0.956288,0.008692358,0.03501964,1,med
تلاشت قابل ستودن بود:-)),2,pos,0.05685961,0.07150791,0.87163246,2,pos
هربار روحانی گفت مردم نگران ارز نباشند ظرف یک هفته بعد بزرگترین منابع مالی و قاچاق ارز و شبکه های وابسته به خارج و داخلی را شناسائی کرد و اموال مردم را پس گرفت. بحران سازهای حامی پمپئو مدام میگویند قیمت دلارفیلان اما اینبارنه کسی صف کشید نه اتفاقی افتاد . دروغ بحران ارزی معلوم است https:// twitter.com/isna_farsi/sta tus/993042604404150272 …,0,neg,0.8983306,0.023193413,0.07847598,0,neg
همیشه تو اوج ناامیدی یه صدایی میگه من باهاتم,0,neg,0.91982335,0.014252407,0.0659242,2,pos
